filename,label
/mnt/svar_trusted/tchen/pin_drop_task/audio_2017/unbalanced_train_segments_training_set_audio_formatted_and_segmented_downloads/Y2wG6EBWr5NQ_30.000_40.000.wav,/m/0284vy3
/mnt/svar_trusted/tchen/pin_drop_task/audio_2017/unbalanced_train_segments_training_set_audio_formatted_and_segmented_downloads/Y2xtxC-KX20I_40.000_50.000.wav,/m/0284vy3
/mnt/svar_trusted/tchen/pin_drop_task/audio_2017/unbalanced_train_segments_training_set_audio_formatted_and_segmented_downloads/Y3CAHJOU1H-k_30.000_40.000.wav,/m/0284vy3
/mnt/svar_trusted/tchen/pin_drop_task/audio_2017/unbalanced_train_segments_training_set_audio_formatted_and_segmented_downloads/Y3nLVdzYql3k_200.000_210.000.wav,/m/0284vy3
/mnt/svar_trusted/tchen/pin_drop_task/audio_2017/unbalanced_train_segments_training_set_audio_formatted_and_segmented_downloads/Y4M2uOOIBcRo_60.000_70.000.wav,"/m/0284vy3,/m/0k4j"
/mnt/svar_trusted/tchen/pin_drop_task/audio_2017/unbalanced_train_segments_training_set_audio_formatted_and_segmented_downloads/Y4iGv6GKbeqI_100.000_110.000.wav,/m/0284vy3
/mnt/svar_trusted/tchen/pin_drop_task/audio_2017/unbalanced_train_segments_training_set_audio_formatted_and_segmented_downloads/Y4kl8NB6TweQ_0.000_10.000.wav,"/m/0284vy3,/m/0dgbq"
/mnt/svar_trusted/tchen/pin_drop_task/audio_2017/unbalanced_train_segments_training_set_audio_formatted_and_segmented_downloads/Y4wd_q1u8Gjk_380.000_390.000.wav,/m/0284vy3
/mnt/svar_trusted/tchen/pin_drop_task/audio_2017/unbalanced_train_segments_training_set_audio_formatted_and_segmented_downloads/Y4z_y47YsieE_30.000_40.000.wav,/m/0284vy3
/mnt/svar_trusted/tchen/pin_drop_task/audio_2017/unbalanced_train_segments_training_set_audio_formatted_and_segmented_downloads/Y6NAcuyS_vjs_90.000_100.000.wav,/m/0284vy3
/mnt/svar_trusted/tchen/pin_drop_task/audio_2017/unbalanced_train_segments_training_set_audio_formatted_and_segmented_downloads/Y73XQOkTK7Gc_40.000_50.000.wav,"/m/0284vy3,/m/0k4j"
/mnt/svar_trusted/tchen/pin_drop_task/audio_2017/unbalanced_train_segments_training_set_audio_formatted_and_segmented_downloads/Y7BJPgsMXYbk_10.000_20.000.wav,"/m/0284vy3,/m/05x_td"
/mnt/svar_trusted/tchen/pin_drop_task/audio_2017/unbalanced_train_segments_training_set_audio_formatted_and_segmented_downloads/Y89o23seHp3k_210.000_220.000.wav,/m/0284vy3
/mnt/svar_trusted/tchen/pin_drop_task/audio_2017/unbalanced_train_segments_training_set_audio_formatted_and_segmented_downloads/Y9yKClwkGijY_20.000_30.000.wav,/m/0284vy3
/mnt/svar_trusted/tchen/pin_drop_task/audio_2017/unbalanced_train_segments_training_set_audio_formatted_and_segmented_downloads/YA0hl8W3RF5c_0.000_10.000.wav,/m/0284vy3
/mnt/svar_trusted/tchen/pin_drop_task/audio_2017/unbalanced_train_segments_training_set_audio_formatted_and_segmented_downloads/YBNdosgx63ic_0.000_10.000.wav,/m/0284vy3
/mnt/svar_trusted/tchen/pin_drop_task/audio_2017/unbalanced_train_segments_training_set_audio_formatted_and_segmented_downloads/YBODr7P2iUag_110.000_120.000.wav,/m/0284vy3
